;Agriculture, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Mokeev D.,""56592820400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927596757&doi=10.1007%2f978-3-319-09758-9_8&partnerID=40&md5=a6b3b0f85b8e9306f385138a03abfcca"",,""Cardinalities";" Induced subgraphs""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Aseeva N.V., Gromov E.M., Malomed B.A., Tyutin V.V.,""15847630900";56707638200;35555126200;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919691216&partnerID=40&md5=f1bd391a5abb6a8266123ae5c4ce5bfa"",""Analytical solutions"; Damped low-frequency waves; Extended nonlinear Schrödinger equation; Inhomogeneity; Second-order dispersion; Self-phase modulation; Soliton solutions;" Stimulated scattering"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kalyagin V.A., Koldanov P.A., Zamaraev V.A.,""13002922100";55630761900;46161808500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975853520&doi=10.1007%2f978-3-319-09683-4_10&partnerID=40&md5=36aa25411c60784a5c560d1cb1d3d818"",""Conditional risk"; Market graph; Market network analysis; Minimum spanning tree;" Statistical uncertainty"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Strok F., Galitsky B., Ilvovsky D., Kuznetsov S.,""55876566100";6603420071;55967196200;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921671414&partnerID=40&md5=ddd7e82d62cdd1325ab5fa30397be0f6"",""Parse Thickets"; Pattern Structures;" Text Clustering"",""Linguistics"; Textile printing; Artificial intelligence; Discourse structure; Graph representation; Intersection operation; Linguistic theory; Parse Thickets; Pattern structure; Syntactic parse tree; Text Clustering; Parse thickets; Computation theory; Patterns; Set;" Structures""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Strok F.,""55876566100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904891509&doi=10.1007%2f978-3-319-09156-3_24&partnerID=40&md5=5dfc23a5a81f9ecf8f5d9b3d0a76ada8"",""attribute exploration"; formal concept analysis;" pairwise testing"",""Artificial intelligence"; Computer science; Computers; Formal concept analysis; Attribute exploration; Best practices; Fully automated; Pair-wise Testing; Semi-supervised; Test case designs; Test case generation; Test scenario;" Algorithms""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Koldanov P.A., Bautin G.A.,""55630761900";55630568100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905821641&doi=10.1007%2f978-3-319-09584-4_11&partnerID=40&md5=206b15d4f6deb1e7f9e27a46d66a1d07"",""Loss function"; Market network; Multiple decision statistical procedures;" Stock selection"",""Commerce"; Statistical methods; Decision problems; Decision procedure; Loss functions; Multiple decision statistical procedures; Risk behavior; Significance levels; Stock selections;" Risk assessment""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915733721&doi=10.1134%2fS1061920814040074&partnerID=40&md5=4b5c1ab3fb702833430789b0b013ad94"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Takebe T.,""7005898546";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897905533&doi=10.3842%2fSIGMA.2014.023&partnerID=40&md5=df6b124024bf7ea315c0d2fbb06b67d0"",""Dbkp hierarchy"; N-variable reduction;" Quadrant löwner equation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kulakova E., Lando S., Mukhutdinova T., Rybnikov G.,""56180402800";6602320062;56179787800;7801436698;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901470627&doi=10.1016%2fj.ejc.2014.04.006&partnerID=40&md5=985c975b43f2bfa77135f77d456df412"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903650313&doi=10.1007%2f978-3-319-07998-1_73&partnerID=40&md5=50ada1386e921fa502de083863fd1f7f"",""Automatic speech recognition"; CMU Sphinx; linear autoregression model; phoneme recognition; speaker adaptation;" voice control"",""Linguistics"; Quality control; Regression analysis; Signal processing; Automatic speech recognition; Autoregression models; CMU Sphinx; Phoneme recognition; Speaker adaptation; Voice control;" Speech recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Karpov A.,""24464304000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888037185&doi=10.1016%2fj.joi.2013.10.008&partnerID=40&md5=b4721f4835676e37f516a33cae7ff8eb"",""Coauthorship"; Collaboration;" Shapley value"",""Computer applications"; Bibliometrics; Coauthorship; Collaboration; Credit allocations; Shapley value;" Game theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Koldanov P.A., Grechikhin I.,""55630761900";56233235500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927665826&doi=10.1007%2f978-3-319-09758-9_5&partnerID=40&md5=46fd97769318faf1b5900cce035a9f48"",,""Commerce"; Correlation methods; Covariance matrix; Investments; Maximum likelihood; Random variables; Graph construction; Independence of random variables; Independent set; Pairwise tests; Pearson correlation; Sample covariance matrix; Stock returns; Testing hypothesis;" Testing""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kalenkova A.A., Lomazova I.A.,""36600541900";6701413146;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907671447&doi=10.3233%2fFI-2014-1071&partnerID=40&md5=1e97951054d5ccb8d6227b74f48d63e1"",,""Flow structure"; Model checking; Petri nets; Control-flow structures; Event logs; Process Discovery; Process mining; Reset arcs; Transition system; Workflow nets;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bautin G.A., Koldanov A.P., Pardalos P.M.,""55630568100";6603418986;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964225315&doi=10.1007%2f978-3-319-09683-4_3&partnerID=40&md5=d179101b510c06e61a0256873cbf6518"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897039846&doi=10.1134%2fS1061920814010063&partnerID=40&md5=5eee63cf8c06f6c7b51a69af1e1ca233"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905823288&doi=10.1007%2f978-3-319-09994-1_25&partnerID=40&md5=b7827ea440407dd3f335b3072e4430e8"",""face recognition"; histogram of oriented gradients (HOG); homogeneity testing; Image recognition; Jensen-Shannon divergence; nearest neighbor; probabilistic neural network;" Scale-Invariant Feature Transform (SIFT)"",""Face recognition"; Graphic methods; Image recognition; Neural networks; Statistical methods; Histogram of oriented gradients (HOG); Homogeneity testing; Jensen-Shannon divergence; Nearest neighbors; Probabilistic neural networks; Scale invariant feature transforms;" Mathematical transformations""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Malafeev A.,""56441670100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916235645&doi=10.1007%2f978-3-319-12580-0_14&partnerID=40&md5=9399e2b02c7cda933ab51bd519e0d4c5"",""Computer-assisted language learning (CALL)"; English as a foreign language (EFL); Exercise generation; Language exercises;" Open cloze"",""Experiments"; Linguistics; Computer assisted language learning; English-as-a-Foreign-Language; Exercise generations; Language exercises; Open cloze;" Computer aided instruction""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Parusnikova A.V.,""50162137200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904633710&doi=10.7494%2fOpMath.2014.34.3.591&partnerID=40&md5=b7676eea688e750a16bce6a53fe3fcd1"",""Asymptotic expansions"; Gevrey orders; Newton polygon;" Painlevé equations"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Malyshev D.S.,""25522390800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911990087&doi=10.1007%2fs11590-014-0733-y&partnerID=40&md5=008622fa96361a93c8bf504857780085"",""Computational complexity"; Polynomial-time algorithm;" Vertex coloring"",""Algorithms"; Coloring problems; Forbidden induced subgraphs; Graph class; Polynomial-time algorithms; Vertex coloring;" Computational complexity""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901363086&doi=10.1016%2fj.jcta.2014.05.001&partnerID=40&md5=171efc5329913c7e8b13d42dd69c4653"",""Algorithms"; Matrix factorization;" Tropical semiring"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Lozgacheva N.N., Koldanov A.P.,""56593241000";6603418986;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927653191&doi=10.1007%2f978-3-319-09758-9_6&partnerID=40&md5=277dfc7f4dbb9aaabe9c7cf0a4c90fd4"",,""Finance"; Financial markets; Graph theory; Conventional approach; Graph theoretic modeling; Independent set; Russian industry; Stock market;" Commerce""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Porshnev A., Kazakov M.,""56109471800";56592381000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927630276&doi=10.1007%2f978-3-319-09758-9_10&partnerID=40&md5=ac0ee0f818491f232a0b21c6cb72591b"",,""Computational linguistics"; Graphic methods; World Wide Web; Academic writings; Citation networks; Engineering domains; NAtural language processing; Reference list; Scientific papers; Scientific writing; Web of knowledge;" Natural language processing systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
