;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Pfeiffer H.D., Ignatov D.I., Poelmans J., Nagarjuna G.,""7103003622";56926915100;24504357900;55811825500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888314518&doi=10.1007%2f978-3-642-35786-2&partnerID=40&md5=e03c8c788e5c1a61526d0fec8566cbcd"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kuznetsov S.O.,""7202573378";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893369381&doi=10.1007%2f978-3-642-45062-4_3&partnerID=40&md5=7245b821973c676ddc92c2362502e0ea"",,""Automatic construction"; Big datum; Complex data; Knowledge discovery in data; Lazy evaluation; Logical formulas; Parallelizations; Pattern structure; Artificial intelligence; Pattern recognition;" Textile printing""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shitov Ya.N.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892777980&doi=10.1070%2fSM2013v204n11ABEH004355&partnerID=40&md5=ae3ada7701ad8386067b9e86596936f7"",""(0,1)-matrices"; Boolean rank;" Isolation number"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Pyrlik V.,""55840526500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884669378&doi=10.1016%2fj.physa.2013.07.072&partnerID=40&md5=eede11111be94ae237559fcd9a23ff4b"",""ACD"; Dow Jones Industrial Average; Forecasting;" Inter-event waiting time"",""ACD"; Analysis of duration; Autoregressive conditional duration models; Dow Jones Industrial averages; Quality prediction; Real-time forecasting; Rolling intervals; Waiting-time; Commerce; Finance; Industrial research;" Forecasting""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kondratyev M., Tsybalova L.,""15069210100";6603338955;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891407858&doi=10.12732%2fijpam.v89i4.14&partnerID=40&md5=22f1c95c0b706d6440270d8fedfc989f"",""ARIMA"; Holt-Winters exponential smoothing; Incidence forecasting; Morbidity prediction; Serfling-type regression;" Univariate time series"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bufetov A.I.,""7801312296";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891928177&doi=10.1070%2fRM2013v068n05ABEH004858&partnerID=40&md5=7108c623e5a811a632844b589b0b5ee6"",""Finitely additive invariant measures"; Forni invariant distributions; Kontsevich-Zorich cocycle; Limit theorems; Rate of convergence in the ergodic theorem; Renormalization; Teichmüller flow;" Vershik automorphisms"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bodrunova S., Koltsov S., Koltsova O., Nikolenko S., Shimorina A.,""56039882200";55803521900;6507090770;13608710100;50262996800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894130398&doi=10.1007%2f978-3-642-45114-0_21&partnerID=40&md5=97d12375bdbda9a0ca4f09782b6099fd"",""Latent dirichlet allocation"; Text mining;" Topic modeling"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Matsypaev D.A., Bronevich A.G.,""56024248500";23102270900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893407446&doi=10.1007%2f978-3-642-45062-4_77&partnerID=40&md5=5a4de2730db299a49de044bbf6f7d1e2"",""Block representation"; Fuzzy model; Imprecise probabilities;" Non-binary motion mask"",""Block representation"; Classification confidence; Fuzzy modeling; Imprecise probabilities; Motion detection; Non-binary; Prior information; Artificial intelligence;" Pattern recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"You Z., Bedrikovetsky P., Kuzmina L.,""7102207937";57203216627;56104145400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897767470&doi=10.1155%2f2013%2f680693&partnerID=40&md5=4f07a5edaa36f0f10c140dd811274e53"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Osipov D.,""24481886700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893127825&doi=10.1007%2f978-3-319-03871-1_4&partnerID=40&md5=c81e25358acac55e782d7b0176ce46cd"",""convolutional code"; multiple access; ordered statistics;" wireless coexistence"",""Codeword length"; Decoding complexity; Future generations; Low probability; Multiple access; Multiple access systems; Ordered statistics; Transmission rates; Communication systems; Convolutional codes; Decoding; Frequency bands; Reed-Solomon codes;" Frequency division multiple access""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Van Der Aalst W.M.P., Westergaard M., Reijers H.A.,""7007153024";13609083600;6603060277;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892721319&doi=10.1007%2f978-3-642-40355-2-15&partnerID=40&md5=2909e2fe5ef7afaf6e69959c0c7d3457"",""Business Process Management"; Case Handling; Declarative Languages; Functional Programming;" Workflow Management"",""Business process management"; Case handling; Declarative Languages; Graphical representations; Procedural languages; Workflow management systems; Workflow managements; Workflow modeling; Administrative data processing; Enterprise resource management; Work simplification;" Functional programming""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Wu L., Wu W., Xing K., Pardalos P.M., Maslov E., Du D.-Z.,""55965959100";55503019300;8901228200;7005330875;57192386200;7202610880;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892755163&doi=10.1007%2f978-1-4614-7582-8_10&partnerID=40&md5=3511dde9b6f36441bd57a1fbf8898be8"",""Connected sensor cover"; Constant-approximation; Coverage of sensor network; Group Steiner tree; Maximum lifetime;" Minimum weight"",""Connected sensor cover"; Constant-approximation; Group Steiner tree; Maximum lifetimes; Minimum weight; Energy efficiency; Forestry; Wireless sensor networks; Efficiency; Energy;" Forestry""";;;;;;;;;;;;;;;;;;;;;;;;;
10;"Abdulrab H., Babkin E., Doucy J.,""6602972854";6701533991;52263397000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892709967&doi=10.1007%2f978-1-4614-7582-8_2&partnerID=40&md5=a7f13c37c70251e4aed122ceef99197f"",""Composition"; Formal analysis; Information systems; Relational logic;" Web-service"",""Automated translation"; Dynamic composition; Dynamic service composition; Formal analysis; Model-Driven architecture; Relational logic; Semantic specification; Service integration; Chemical analysis; Formal languages; Industry; Information services; Semantics; Service oriented architecture (SOA); Software architecture; Software testing;" Information systems""";;;;;;;;;;;;;;;;;;;;;;;
10;"Kazantsev N.S., Degtyrev V.M.,""36237354600";36237418700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879642316&partnerID=40&md5=e58ef2725bb4f516437723e1fb0dc536"",""Color allocation"; Contour segregation; Image compression; Video compression;" Video registration"",""Compression solutions"; Contour segregation; Highest resolutions; Information traffic; Processing approach; Registration systems; Temporal evolution; Video registration; Data processing; Face recognition; Image compression; Management science; Video streaming;" Water resources""";;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bronevich A.G., Lepskiy A.E., Umansky V.I., Yakushev D.A.,""23102270900";23976011900;56023634900;56023710000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893385825&doi=10.1007%2f978-3-642-45062-4_37&partnerID=40&md5=0255dca5715eb95ab13cfb3ebb93963d"",,""Incomplete data"; Laser scanning; Polygonal representation; Artificial intelligence;" Pattern recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kabanov Y., Lépinette E.,""7003276566";55214983900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888430689&doi=10.1016%2fj.jmateco.2013.05.007&partnerID=40&md5=4da6c2f40a282eb7e32d97a1f5dadbaf"",""American option"; Hedging; Partial order; Preference relation; Random cones;" Transaction costs"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Müller R., Stahl C., Van Der Aalst W.M.P., Westergaard M.,""57199987651";9738444600;7007153024;13609083600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892406831&doi=10.1007%2f978-3-642-45005-1_25&partnerID=40&md5=b25cf75cbf099b637844031e61102de8"",,""Deadlock free"; Deadlock freedom; Industrial size; Process Discovery; Process Modeling; Quality dimension; Service discovery; Service Model; Artificial intelligence; Computer science; Computers;" Quality of service""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kabanov Y., Lépinette E.,""7003276566";55214983900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888437237&doi=10.1016%2fj.jmateco.2013.07.002&partnerID=40&md5=c2fcc066a5b1817173945c030531efa9"",""Essential supremum"; Random partial order; Set-valued dynamic risk measures;" Transaction costs"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Beklemishev L., Gabelaia D.,""6602096489";8732161300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883050541&doi=10.1016%2fj.apal.2013.06.008&partnerID=40&md5=33ade124058887188c6493f8b6dc7f73"",""GLP"; Provability logic;" Scattered spaces"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Savchenko L.V., Savchenko A.V.,""55937732800";42962245900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888272035&doi=10.1007%2f978-3-642-38847-7-23&partnerID=40&md5=6881a352ad92ae93308fda4d66078b72"",""Automatic phoneme recognition"; fuzzy set theory; Kullback-Leibler minimum information discrimination principle;" phonetic decoding method"",""Decoding methods"; Kullback-Leibler; Minimum information; Phoneme recognition; Recognition accuracy; Word recognition; Decoding; Fuzzy set theory; Fuzzy sets; Speech processing;" Linguistics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Lomazova I.A., Romanov I.V.,""6701413146";55933519800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887908663&doi=10.3233%2fFI-2013-937&partnerID=40&md5=85abcbdb3e5bddc49d08f9c0031290a3"",,""Multiset"; Service compatibility; Workflow modules; Computational methods; Information systems;" Petri nets""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Cherednik I., Feigin B.,""16511975000";7006562936;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884167771&doi=10.1016%2fj.aim.2013.08.025&partnerID=40&md5=be93bd05edbdd798fbaf9e0ce8afacc4"",""Coset algebras"; Demazure characters; Dilogarithm; Hecke algebras; Kac-Moody algebras; Modular functions; Q-Hermite polynomials;" Rogers-Ramanujan identities"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Povolotsky A.M.,""6602423850";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887835148&doi=10.1088%2f1751-8113%2f46%2f46%2f465205&partnerID=40&md5=510a302c956a9e4715a08bb33e3b132a"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Beklaryan A.L.,""57193798068";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887804516&doi=10.12732%2fijpam.v88i4.5&partnerID=40&md5=fe99d6f35d5fdb50d3af39cbe7f3ba43"",""Boundary value problem"; Capacity; Elliptic equation;" Hardy inequality"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Fedotov A.G.,""55977490800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891338658&doi=10.1134%2fS0001434613110096&partnerID=40&md5=b4005c53d86197dec58de652db11734b"",""attractor"; diffeomorphism;" generalized solenoid"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891333803&doi=10.1134%2fS0001434613110205&partnerID=40&md5=c765a88a282f527f87534c4efcbf9ed6"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891285758&doi=10.1134%2fS0001434613110138&partnerID=40&md5=f74f434d2809fe092023af3bd29350b2"",""binodal"; clusters; distribution of Bose-Einstein type; fractional dimension; isochore; isotherm; number of degrees of freedom; Poisson adiabat;" spinodal"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Leksin V.A., Nikolenko S.I.,""36084898000";13608710100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886405364&doi=10.1007%2f978-3-642-41062-8_21&partnerID=40&md5=bee2706cf4a5689c0f70128c6f56efcb"",""recommender systems"; tag extraction;" text mining"",""Classification algorithm"; Semi-supervised; Semi-supervised classification; Tag extraction; Text mining; Textual information; User experience; Web recommender systems; Algorithms; Data mining; Websites;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ozhegov E.M.,""55880875200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885449399&partnerID=40&md5=91808640bca5af794477923065314e39"",""Demand estimation"; Multiattributive utility function;" Unidentified number of attributes"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Isaev E.A., Kornilov V.V., Tarasov P.A.,""7006155805";7006809620;55877448500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885333290&partnerID=40&md5=ca6905a450367c2638991faf844355e8"",""Fiber optic network"; Grid; High-speed data transfer; Large amounts of scientific data;" Scientific computer networks"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Isaev E.A., Kornilov V.V.,""7006155805";7006809620;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885366036&partnerID=40&md5=550d6a9e79dd7974e837b68d29d04795"",""Apache hadoop"; Astrophysics; Big data; Bioinformatics; Cloud computing; Computer cluster; Computer systems handling big data; Data center; Grid.; Mapreduce; Nosql;" Particle physics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Golo V.L., Kats E.I., Sevenyuk A.A., Sinitsyn D.O.,""6701581105";7006255135;55907146400;56711721700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886692684&doi=10.1103%2fPhysRevE.88.042504&partnerID=40&md5=e88ddf154dec10d06d421e39d06d07a1"",,""Biaxial nematics"; Elastic energy; Lagrange equation; Non-uniform distribution; Optical characteristics; Order parameter; Quasi-periodic; Topological features; Fourier analysis; Lagrange multipliers; Nematic liquid crystals;" Textures""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882892147&doi=10.1016%2fj.laa.2013.06.033&partnerID=40&md5=10bd82fc8d1eca66ef2187f190325728"",""Boolean matrices"; Computational complexity;" Rank functions"",""Boolean matrices"; Boolean Matrix; NP-hard; Rank functions; Computational complexity; Linear algebra;" Mathematical techniques""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Fomichov V.A.,""6602185149";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884924030&doi=10.1007%2f978-3-642-38824-8_21&partnerID=40&md5=18eb3880d9c9f31a1178bb6c4aec7f97"",""algorithm of semantic-syntactic analysis"; bioinformatics; conceptual metagrammar; Multilingual Semantic Web; natural language processing; semantic markup language; semantic representation; SK-languages; text meaning representation;" theory of Krepresentations"",""Metagrammar"; Multilingual semantic webs; NAtural language processing; Semantic markup; Semantic representation; SK-languages; text meaning representation; theory of Krepresentations; Bioinformatics; Information systems; Knowledge representation; Markup languages; Semantics;" Natural language processing systems""";;;;;;;;;;;;;;;;;;;;;;;
10;"Popov V.L.,""13605069500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884630704&doi=10.1070%2fIM2013v077n04ABEH002659&partnerID=40&md5=f9f2a2cf9587f5837edab430d70ed23b"",""Affine Cremona group"; Algebraic torus; Conjugate subgroups; Cremona group; Diagonalizable algebraic group; Fusion theorems;" Torsion primes"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Feigin E., Finkelberg M.,""6701558236";6602282553;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880385597&doi=10.1007%2fs00209-012-1122-9&partnerID=40&md5=943fcb6812001e02f1cc0bd2e7ad069a"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Esterov A.,""8697123200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880614974&doi=10.1016%2fj.aim.2013.06.027&partnerID=40&md5=ceb4582ed7d7c84337fd79149eeb4966"",""Bifurcation set"; Discriminant; Dual defect; Polytope; Purity;" Tropical geometry"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bogomolov F., Rovinsky M.,""6603748855";56629128300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868031052&doi=10.2478%2fs11533-012-0131-6&partnerID=40&md5=94f164cf201806efbc6c629844cc1fc0"",""Collineations"; Projective group;" Symmetric groups"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Malyshev D.S.,""25522390800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888412698&doi=10.1134%2fS199047891304008X&partnerID=40&md5=002a92c8e4b810fa294f16bff938571a"",""boundary class"; computational complexity; efficient algorithm;" independent set problem"",""boundary class"; Independent set problems; Polynomially solvable; Subcubic graphs; Subcubic planar graphs; Algorithms; Computational complexity; Graph theory;" Problem solving""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Cerulli Irelli G., Feigin E., Reineke M.,""55274253800";6701558236;6602920692;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880384295&doi=10.1016%2fj.aim.2013.05.024&partnerID=40&md5=ba5fc36e87844bbe95daf7fb5ebd9cfc"",""Desingularizations";" Quiver Grassmannians"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Romanov I., Shamaev A.,""50162257800";6603596715;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887252239&doi=10.1007%2fs10883-013-9199-y&partnerID=40&md5=5dd064d6edce92e35a19cdab6bdb414f"",""Bounded control"; Controllability to rest;" String equation with memory"",""Bounded controls"; Distributed control functions; Distributed systems; Equilibrium point; Exact controllability; Linear combinations; Mechanical systems; String equations; Nonlinear equations;" Controllability""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Litvinov G.L., Rodionov A.Y., Sergeev S.N., Sobolevski A.N.,""6701899871";22994744300;36824189800;7004013625;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883822084&doi=10.1007%2fs00500-013-1027-5&partnerID=40&md5=b5cd631a68d2cda6eec7042bd61e6391"",,""Bellman equations"; Idempotent semirings; Original algorithms; Semirings; Software implementation; Universal algorithm; Algorithms;" Dynamic programming""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Golubin A.Y.,""55885947500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884389785&doi=10.1016%2fj.orl.2013.08.012&partnerID=40&md5=24db786b3e1f0c9688de7fb8384dc96c"",""Pareto optimality"; Scalarization;" Two-dimension utility space"",""First-order necessary conditions"; Pareto-optimal; Pareto-optimality; Scalarization; Two-dimension; Management science; Operations research;" Pareto principle""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shpiz G.B., Litvinov G.L., Sergeev S.N.,""6506249581";6701899871;36824189800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880292174&doi=10.1016%2fj.laa.2013.04.036&partnerID=40&md5=bf1efb6157a0b13e0d68d5386599c6fb"",""Common eigenvector"; Idempotent mathematics; Matrix semigroups;" Max algebra"",""Common eigenvector"; Idempotent mathematics; Matrix semigroups; Max algebra; Nilpotent; Nonnegative entries; Semigroups; Linear algebra; Mathematical techniques;" Eigenvalues and eigenfunctions""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Obiedkov S.,""7801637737";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883328472&doi=10.1007%2f978-3-642-38317-5_12&partnerID=40&md5=b4ac136fbcb4cd683b650dabba29bcd1"",""ceteris paribus preferences"; formal concept analysis; implications;" preference logic"",""Ceteris paribus"; Consequence relations; Context-based semantics; Formal contexts; implications; Parameterized; Preference logic; Information analysis; Parameterization; Semantics;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kuznetsov S.O.,""7202573378";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883423614&doi=10.1007%2f978-3-642-38317-5_17&partnerID=40&md5=30add44ed6996d063d06f5e5fa8a7d1a"",,""Algorithmic complexity"; Binarizations; Complex data; Lazy evaluation; Logical formulas; Parallelizations; Pattern structure; Projection approximations; Formal concept analysis; Information analysis;" Textile printing""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Westergaard M., Fahland D., Stahl C.,""13609083600";23396621900;9738444600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883197393&doi=10.1007%2f978-3-642-40465-8_10&partnerID=40&md5=e8fe2fa162ca7e4ac67250bfaade3308"",,""Colored petri net model"; Colored Petri Nets; Cpn tools; Dynamic property; Error prones; Petri net models; Temporal property; Tool supporting; Computer worms; Grading; Petri nets; Temporal logic; Tools;" Model checking""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Zotov M.G.,""56999077700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886905858&doi=10.1134%2fS1064230713030167&partnerID=40&md5=0c505011eeb095efa8d5d2f3e5b97ba6"",,""Approximate methods"; Multimode control; Normal modes; Quasi-optimal; Robust controllers; Robust systems; System of equations; Computer science; Software engineering;" Optimization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886474616&doi=10.1134%2fS000143461309023X&partnerID=40&md5=2da0bf29803787010ad75ae586186eb0"",""dimension"; isochore; isotherm; number of degrees of freedom; oscillatory representation; second sheet of thermodynamics; spinodal;" two-liquid model"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886550681&doi=10.1134%2fS0001434613090071&partnerID=40&md5=3f1c596beda9cedc998c0e49ab45e8aa"",""binodal"; cluster; fractional dimension; Poisson adiabat; spinodal;" the number of degrees of freedom"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Podinovski V.V.,""55996020400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877003431&doi=10.1016%2fj.ejor.2013.02.045&partnerID=40&md5=bc886408d7450f5c1a5cb03d9ad420de"",""Binary preference relations Non-dominated objects Potentially optimal objects Choosing l best objects l-Non-dominated objects Potentially l-optimal objects"",""Decision makers"; Decision problems; Partial preference relations; Potential optimality; Preference relation; Theoretical result; Value functions; Mathematical models; Operations research;" Optimization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Nascimento S., Felizardo R., Mirkin B.,""7003805775";44361041400;35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883794866&doi=10.1111%2fexsy.12027&partnerID=40&md5=5c2fc8e93a5911db3493079c2504ef18"",""Laplacian normalization"; number of clusters; Relational fuzzy clustering;" spectral fuzzy clustering"",""Computational properties"; Data transformation; Fuzzy clustering method; Gaussian clusters; Laplacians; Number of clusters; Spectral clustering; Spectral clustering methods; Laplace transforms; Noise generators;" Fuzzy clustering""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maximov Y.V.,""57195284888";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884192308&doi=10.1134%2fS096554251309008X&partnerID=40&md5=f1ebf867ad49a66ccd45bf09887d1caf"",""algebraic classification methods"; Boolean function; complexity of Boolean function; disjunctive normal form;" probably approximately correct learning"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Khoroshkin A., Markarian N., Shadrin S.,""16042672000";10142274300;6701858409;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880512276&doi=10.1007%2fs00220-013-1737-7&partnerID=40&md5=0f0f585e764d99966bcd484bcabcfafb"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Amerik E., Campana F.,""56619370700";35607833300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877314358&doi=10.1016%2fj.geomphys.2013.04.004&partnerID=40&md5=8cc9421168f8cbb69dd073735b57cd60"",""Fibration"; Holomorphic symplectic variety;" Lagrangian torus"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Osipov D., Frolov A., Zyablov V.,""24481886700";36452224100;7005949263;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882751719&doi=10.1007%2f978-3-642-39805-6_5&partnerID=40&md5=7467a11883f4cd6b58db97ea0047d517"",,""Asymptotic behaviors"; Asymptotic formula; Intensity information; Modulation techniques; Multiple-access systems; Noncoherent reception; Transmission methods; Wireless channel; Modulation;" Pulse position modulation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Borodin A., Olshanski G.,""7102323879";6602706880;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881644432&doi=10.1214%2fEJP.v18-2729&partnerID=40&md5=3eb70ec608fb67752068afc7ba8a874e"",""Determinantal processes"; Feller processes; Laguerre polynomials; Markov intertwiners; Meixner polynomials; Thoma cone;" Thoma simplex"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Georgiev P.G., Luc D.T., Pardalos P.M.,""7102010010";7004061788;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876410847&doi=10.1016%2fj.ejor.2013.02.037&partnerID=40&md5=0f805e6d53660c8e8dc95343ef027248"",""Multiple objective linear problem"; Radius of robustness;" Robust efficient solutions"",""Convex combinations"; Linear problems; Multiple objective linear programming; Multiple objective problems; Small perturbations; Sufficient conditions; Operations research;" Mathematical models""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879768376&doi=10.1007%2f978-3-642-39402-7_13&partnerID=40&md5=6e62455423bf4b4b08d0724db6aeccf9"",""directed enumeration method"; face recognition; probabilistic neural network with homogeneity testing;" Real-time image recognition"",""Computing efficiency"; Directed enumeration methods; Experimental studies; Homogeneity testing; Nearest neighbor rule; Parallel computing algorithms; Parallel implementations; Parallel version; Computer vision; Neural networks; Parallel architectures;" Face recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Westergaard M., Slaats T.,""13609083600";53878553200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881251914&doi=10.1007%2f978-3-642-40176-3_24&partnerID=40&md5=c930d5295a8617d53afcd0b5d13bfee0"",,""Abstract data"; Abstract process; Colored Petri Nets; Control-flow; Data support; Declarative Languages; Explicit modeling; Structured process; Enterprise resource management; Petri nets;" Flow graphs""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ducomet B., Zlotnik A.,""7004842952";7101674545;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880928792&doi=10.3934%2fkrm.2013.6.533&partnerID=40&md5=e014806a1ec6d34df489b3608a1bd8b0"",""Entropy balance equation"; Magnetic gas dynamics;" Regularization"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
