7;"Frese M., Bausch A., Schmidt P., Rauch A., Kabst R.,""7005597960";35306628000;55438467100;7005730599;22234259600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859714251&doi=10.1561%2f0300000044&partnerID=40&md5=28cbc8aa6199dfd3355b585405ea27ea"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Vernikov A.,""55203483300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860450974&doi=10.2747%2f1539-7216.53.2.250&partnerID=40&md5=2a782041d04d1b19598cb3a6c91d1206"",""Bank assets"; Bank deposits; Bank loans; Chinese banks; Government control; Private banks; Public sector; Russia; Russian banks;" State-owned banks"",""banking"; financial system; firm ownership; firm size; government; lending behavior; market conditions; market transition; private sector; profitability; public sector; state owned enterprise; Central Europe; China;" Eastern Europe""";;;;;;;;;;;;;;;;
7;"Karabchuk T.,""56206039600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976477629&doi=10.1007%2fs12651-011-0096-0&partnerID=40&md5=7d304bf910ccf9daf526cbe1e6f41377"",""Full-timers"; Non-standard employment; Part-time employment; Permanent employees; Russia; Standard employment; Temporary work;" Wage differences"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Pyle W., Schoors K., Semenova M., Yudaeva K.,""6701393264";6602890065;24823591100;6508167448;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860495881&doi=10.2747%2f1539-7216.53.2.267&partnerID=40&md5=b43946604e77c67475adc567647ea40c"",""1998 financial crisis"; Bank runs; Household deposits; Ponzi scheme; Russia; Russian banks;" Sberbank"",""banking"; financial crisis; financial market; household survey; savings;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;
7;"Fan N., Izraelevitz D., Pan F., Pardalos P.M., Wang J.,""35253514500";6602418682;14822427400;7005330875;55742757700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863269151&doi=10.1007%2fs12667-011-0046-5&partnerID=40&md5=90628aeb08019a64d9b8c5b17f6b6639"",""Graph partitioning"; Intentional islanding; Mixed integer programming; Optimal power flow;" Weakly connected islands"",""Graph Partitioning"; Intentional islanding; Mixed integer programming; Optimal power flows; Weakly connected islands; Computer programming; Electric power system interconnection; Graph theory; Integer programming; Optimization;" Electric power distribution""";;;;;;;;;;;;;;;;;;;;;
7;"Miles I.,""7003911939";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857580574&doi=10.1108%2f14636681211210378&partnerID=40&md5=c1106a64bf23469e44e4464598801b44"",""Evaluation"; Foresight; Foresight programmes; Forward planning; Services; Stakeholders; Value added;" Values"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Popov S.V., Bernhardt D.,""54416259000";7006377194;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865114984&doi=10.1257%2fmic.4.1.116&partnerID=40&md5=4d88e1c6b3922286bf72203239c6f594"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Denisova I., Eller M., Frye T., Zhuravskaya E.,""57197640813";28367654900;7004219854;56256639300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856235125&doi=10.1016%2fj.jce.2011.11.001&partnerID=40&md5=07c3bd70854a32e4682aa7f1497202e7"",""Legitimacy of property rights"; Nationalization; Privatization; Revision;" Transition"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Aleskerov F., Egorova L.,""7003947309";55611939400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874501712&doi=10.1016%2fj.econlet.2012.04.078&partnerID=40&md5=c62426f48fa2dd99b8e6ed4ef8a883b2"",""Financial crises"; Poisson processes;" Stock exchange"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Nesterova D.V., Kulakova T.V.,""57190430779";57190430395;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979963777&doi=10.17059%2f2012-1-11&partnerID=40&md5=f82085a2df5568016d161794b3a65dac"",""Exhibition"; Presentation and branding activities;" Promotion of transport services to strategic markets"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Sheluntsova M.A.,""57190430888";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979961831&doi=10.17059%2f2012-1-25&partnerID=40&md5=ef4a57dae7c436c407d12f5546133096"",""Budgetary investment"; Management;" Methods of performance estimation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Ilyin M., Meleshkina E., Stukal D.K.,""57191089482";55903407900;55627527700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042852119&doi=10.1353%2freg.2012.0016&partnerID=40&md5=569bc7b74ab97ed8a434ef0c3d65712b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Chernova Z.,""57192919533";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906890569&doi=10.1353%2freg.2012.0010&partnerID=40&md5=76c406b54aa63ba6221683a2ae1b5eec"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"García E.D.T.,""55421102000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873908251&partnerID=40&md5=7e25dbdef4855e32d82fa7346091ea10"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;"Fan N., Izraelevitz D., Pan F., Pardalos P.M., Wang J.,""35253514500";6602418682;14822427400;7005330875;55742757700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863269151&doi=10.1007%2fs12667-011-0046-5&partnerID=40&md5=90628aeb08019a64d9b8c5b17f6b6639"",""Graph partitioning"; Intentional islanding; Mixed integer programming; Optimal power flow;" Weakly connected islands"",""Graph Partitioning"; Intentional islanding; Mixed integer programming; Optimal power flows; Weakly connected islands; Computer programming; Electric power system interconnection; Graph theory; Integer programming; Optimization;" Electric power distribution""";;;;;;;;;;;;;;;;;;;;;
8;"Akopov A.S.,""47561181900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871585490&doi=10.1504%2fIJCAT.2012.051122&partnerID=40&md5=b6b21b687cfbbd37377c572208c01d78"",""Computer modelling and simulation"; Genetic optimisation algorithm; Investment activity; Powersim Studio; System dynamics; Vertically integrated oil company;" VIOC"",""Computer modelling and simulation"; Oil companies; Optimisations; System Dynamics; VIOC; Algorithms; Computer simulation; Data warehouses; Studios;" Industry""";;;;;;;;;;;;;;;;;;;;;;;;
8;"Solntsev V.A.,""7005233274";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876146686&doi=10.1109%2fAPEDE.2012.6478021&partnerID=40&md5=d4dc5fc81a31dbde098c2af1e963363a"",,""Characteristic equation"; Electron wave; Electron-wave interactions; Forward-and-backward; Pass bands; Periodic waveguides; Slow-wave systems; Stopband; Cutoff frequency; Electromagnetic waves; Electron beams; Electron devices; Waveguides;" Electrons""";;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Mukhin S.V., Panov A.V.,""7003565468";57198169159;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876106576&doi=10.1109%2fAPEDE.2012.6478046&partnerID=40&md5=1463a28918155b3c0f8c78970141e4aa"",,""3-d modeling"; Dispersion characteristics; Slow wave; Slow-wave systems; Electron devices; Resonators;" Electrodynamics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Shabanov D.S.,""7004494316";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876109481&doi=10.1109%2fAPEDE.2012.6478022&partnerID=40&md5=94266f9cea611b7368c4bb2678e65212"",,""Characteristic equation"; Electron-wave interactions; Local coupling; Modeling power; Stopband; Electron devices;" Traveling wave tubes""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Solntsev V.A.,""7005233274";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878494131&doi=10.1134%2fS1064226912120078&partnerID=40&md5=706af808e22e975c3c014473fbc87bc8"",,""Characteristic equation"; Counterpropagating; Electron wave; Finite difference; Passbands; Periodic waveguides; Propagation properties; Stop-bands; Cutoff frequency; Electromagnetic waves; Electron beams; Electrons; Periodic structures; Waveguides;" Slow wave structures""";;;;;;;;;;;;;;;;;;;;;;;;;
8;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871832496&doi=10.3103%2fS1060992X12040054&partnerID=40&md5=24721882d50667077bbd5ac8afb5a128"",""committee machine"; ensemble classifier; Kullback-Leibler minimum information discrimination principle;" video image recognition"",""A-posteriori probabilities"; Automatic adaptation; Block diagrams; Committee machines; Data sets; Ensemble classifiers; Ensemble of classifiers; Kullback-Leibler; Minimum information; Naive Bayesian; Nearest neighbor method; Similarity measure; System features; Video image recognition; Face recognition;" Bayesian networks""";;;;;;;;;;;;;;;;;;;;;
8;"Petrosyants K.O., Orekhov E.V., Kharitonov I.A., Popov D.A.,""6602577918";54914283100;56711354200;55795078700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880216437&doi=10.1117%2f12.2017550&partnerID=40&md5=a145855b410a41c9dddf4d568dd6e9b2"",""MOSFET"; Self-heating; SOI; TCAD; Technology scaling;" Thermal resistance"",""MOS-FET"; Self-heating; SOI; TCAD; Technology scaling; Heat resistance; Nanoelectronics; Semiconducting silicon; Silicon; Silicon on insulator technology;" MOSFET devices""";;;;;;;;;;;;;;;;;;;;;
8;"Poelmans J., Elzinga P., Ignatov D.I., Kuznetsov S.O.,""24504357900";24504058300;56926915100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867380440&doi=10.1080%2f03081079.2012.721662&partnerID=40&md5=28edfffc18ee111201cf3f0db9e97de8"",""formal concept analysis"; human trafficking;" semi-automated knowledge discovery"",""Activity report"; Concept Lattices; Domain experts; Domain knowledge; Domain specific; Early warning indicators; Enterprise applications; Human intelligence; Human trafficking; Illegal activities; In-depth investigation; Netherlands; Police reports; Semi-automated; Formal concept analysis; Information analysis; Iterative methods;" Crime""";;;;;;;;;;;;;;;;;
8;"Nazarov A.L., Romanov V.G.,""55507300600";55560964700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870352224&doi=10.1134%2fS1990478912040072&partnerID=40&md5=84d8567db1156e1656d29c36fd9a6884"",""dispersion"; Electrodynamics; inverse problem;" uniqueness"",""Cauchy problems"; Dielectric permeability; Dipole sources; Pulse currents; uniqueness; Uniqueness theorem; Unit ball; Wave dispersion; Dispersion (waves); Electrodynamics; Inverse problems;" Integrodifferential equations""";;;;;;;;;;;;;;;;;;;;;;;;
8;"Lazarev A.A., Korenev P.S.,""7101908181";55355861600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866106548&doi=10.3182%2f20120523-3-RO-2023.00297&partnerID=40&md5=2d2a2f80becc888f686dd15e0d3bb97b"",""Approximation scheme"; Metric; Scheduling algorithm;" Total tardiness"",""Approximated solutions"; Approximation scheme; Metric; Minimal distance; NP-hard; Scheduling problem; Single machine scheduling problems; Total tardiness; Polynomial approximation; Scheduling algorithms;" Manufacture""";;;;;;;;;;;;;;;;;;;;;;;;;
8;"Kokhov V.A.,""6507318739";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869418440&doi=10.1134%2fS1064230712030057&partnerID=40&md5=79fad50b3bb155994dda8184e78d2f94"",,""First systems"; Matrix model; Qualitative features; Semantic network; Stratified systems; Two-graphs; Directed graphs; Semantics;" Problem solving""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Gokhberg L., Fursov K., Karasev O.,""6508192345";22734005700;54895674700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857363088&doi=10.1016%2fj.technovation.2012.01.002&partnerID=40&md5=c80f68ca3481b8d5766663b0acb54b99"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Mirkin B., Nascimento S.,""35428028600";7003805775;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055036002&doi=10.1016%2fj.ins.2011.09.009&partnerID=40&md5=6c67e6e85a0f4e8519fe489049e8248f"",""Additive fuzzy clustering"; Community structure; Lapin transformation; One-by-one clustering; Research activity structure;" Spectral fuzzy clustering"",""Cluster analysis"; Fuzzy clustering; Inverse problems; Iterative methods; Metadata; Social sciences; Spectroscopy; Community structures; Iterative extraction; Lapin transformation; Multi-dimensional vectors; Network structures; One-by-one clustering; Research activities; Spectral decomposition;" Matrix algebra""";;;;;;;;;;;;;;;;;;
8;"Podinovskii V.V.,""6603544212";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856164059&doi=10.1134%2fS0005117912010146&partnerID=40&md5=6eddca8b9e61097687b125bc94bc19a4"",,""Automation"; Potential optimality; Value functions;" Control""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922685513&partnerID=40&md5=6d0bc6593c32520d1003763812d933bf"",""Automatic image recognition"; Ensemble classifiers; Kullback-leibler minimum discrimination information principle;" Maximum posterior probability principle"",""Algorithms"; Face recognition; Object recognition; Probability; Algorithm parameters; Ensemble classifiers; Euclidean metrics; Experimental research; Kullback information; Kullback-Leibler; Kullback-Leibler information; Maximum posterior probability; Recognition accuracy; Scale invariant feature transforms;" Parameter estimation""";;;;;;;;;;;;;;;;;;;;;;
8;"Aseeva N., Babkin E., Kozyrev O.,""15847630900";6701533991;6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698216&partnerID=40&md5=81950a4970373ce2fdc7ae893092fe69"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Klimova N., Malyzhenkov P.,""36941059400";54783108900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867719860&doi=10.1007%2f978-3-642-33281-4_10&partnerID=40&md5=56cb17336d5aacd284a0f2285355be02"",""innovation"; spin-offs;" university clusters"",""Information science"; Innovation; Cluster models; Effective solution; ICT industries; Innovative activities; International experiences; National economy; Organizational forms; Spin off; university clusters;" Competition""";;;;;;;;;;;;;;;;;;;;;;;;;
8;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867724011&doi=10.1007%2f978-3-642-33281-4_15&partnerID=40&md5=08ce53e89375d56541ef386ef0762557"",""Best Bin First"; directed enumeration method; HoG (histogram of gradients); k-d tree;" Real-time object recognition"",""Algorithms"; Forestry; Graphic methods; Information science; Best Bin First; Enumeration method; HoG (histogram of gradients); K-d tree; Real-time object recognition; Face recognition; Algorithms; Computer Graphics;" Trees""";;;;;;;;;;;;;;;;;;;;;;;
8;"Aseeva N.V., Gromov E.M., Tyutin V.V.,""15847630900";56707638200;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028099727&doi=10.1007%2fs11141-012-9359-z&partnerID=40&md5=c7df06312a1503ec4d3d027ebfe17898"",,""Anisotropic media"; Dispersion (waves); Dispersions; Nonlinear equations; Phase modulation; Cross phase modulation; Cubic nonlinearities; Dinger equation; Envelope functions; Linear dispersion; Mutual locations; Nonlinear dispersion; Single components;" Solitons""";;;;;;;;;;;;;;;;;;;;;;;;
8;"Gnatyshak D., Ignatov D.I., Semenov A., Poelmans J.,""55420752100";56926915100;57198704406;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867717000&doi=10.1007%2f978-3-642-33281-4_13&partnerID=40&md5=fd05628e59b992ddec4c804ed9adfe92"",""Biclustering and Triclustering"; Formal Concept Analysis; Online Social Networks;" Web 2.0 and Social Computing"",""Formal concept analysis"; Information science; Online systems; Social networking (online); Biclustering; Gaining insights; Massive data; Online social networks; Similar Interests; Social computing; Social Networks; Social tagging; Users' interests;" Social sciences computing""";;;;;;;;;;;;;;;;;;;;
8;"Malyshev D.S.,""25522390800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857672145&doi=10.1134%2fS1990478912010103&partnerID=40&md5=0937ba204b551da3993ef932613bfb09"",""computational complexity";" independent set problem"",""Connected graph"; Independent set problems; Natural number; Non-decreasing functions; Polynomial functions; Sub-exponential algorithms; Graph theory;" Computational complexity""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Ignatov D.I., Konstantinov A.V., Nikolenko S.I., Poelmans J., Zaharchuk V.V.,""56926915100";55420166400;13608710100;24504357900;55420283900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698931&doi=10.1007%2f978-3-642-33281-4_1&partnerID=40&md5=ef1e158f03e91fa1abf9014e42be1cd7"",""e-commerce"; interactive radio network; music recommender systems;" quality of service"",""Electronic commerce"; Information science; Quality of service; Radio stations; Adaptive online learning; Music recommender systems; Online recommender systems; Radio networks; Service evaluation;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;
8;"Nelyubin A.P., Podinovskii V.V.,""38361897000";6603544212;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862137671&doi=10.1134%2fS0005117912050074&partnerID=40&md5=14dd907383a9f5515c451100ae9bb87d"",,""Automation"; Analytical decisions; Multicriteria problems; Precise method;" Control""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Bespalov P.A., Savina O.N.,""6701525903";6603597819;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027938103&doi=10.1007%2fs11141-012-9361-5&partnerID=40&md5=135aca64308524560d7dd4f47a883942"",,""Ionosphere"; Ionospheric measurement; Atmospheric process; Electromagnetic signals; Equatorial electrojet; Periodic heating; Quiet Sun; Tidal streams;" Atmospheric electricity""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;"Nesterova D.V., Kulakova T.V.,""57190430779";57190430395;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979963777&doi=10.17059%2f2012-1-11&partnerID=40&md5=f82085a2df5568016d161794b3a65dac"",""Exhibition"; Presentation and branding activities;" Promotion of transport services to strategic markets"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;"Sheluntsova M.A.,""57190430888";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979961831&doi=10.17059%2f2012-1-25&partnerID=40&md5=ef4a57dae7c436c407d12f5546133096"",""Budgetary investment"; Management;" Methods of performance estimation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"Akinina Y., Dragoy O.,""55558819300";36522630700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872437819&partnerID=40&md5=730642c87b25be392973b784332d1ffc"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"Dragoy O., Ivanova M., Kuptsova S., Ulicheva A.,""36522630700";13406041800;55344594700;55266444400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872469737&partnerID=40&md5=d28cc672f0c6e4ae806560ad77b504d7"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"Solntsev V.A.,""7005233274";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878494131&doi=10.1134%2fS1064226912120078&partnerID=40&md5=706af808e22e975c3c014473fbc87bc8"",,""Characteristic equation"; Counterpropagating; Electron wave; Finite difference; Passbands; Periodic waveguides; Propagation properties; Stop-bands; Cutoff frequency; Electromagnetic waves; Electron beams; Electrons; Periodic structures; Waveguides;" Slow wave structures""";;;;;;;;;;;;;;;;;;;;;;;;;
9;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871832496&doi=10.3103%2fS1060992X12040054&partnerID=40&md5=24721882d50667077bbd5ac8afb5a128"",""committee machine"; ensemble classifier; Kullback-Leibler minimum information discrimination principle;" video image recognition"",""A-posteriori probabilities"; Automatic adaptation; Block diagrams; Committee machines; Data sets; Ensemble classifiers; Ensemble of classifiers; Kullback-Leibler; Minimum information; Naive Bayesian; Nearest neighbor method; Similarity measure; System features; Video image recognition; Face recognition;" Bayesian networks""";;;;;;;;;;;;;;;;;;;;;
9;"Petrosyants K.O., Orekhov E.V., Kharitonov I.A., Popov D.A.,""6602577918";54914283100;56711354200;55795078700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880216437&doi=10.1117%2f12.2017550&partnerID=40&md5=a145855b410a41c9dddf4d568dd6e9b2"",""MOSFET"; Self-heating; SOI; TCAD; Technology scaling;" Thermal resistance"",""MOS-FET"; Self-heating; SOI; TCAD; Technology scaling; Heat resistance; Nanoelectronics; Semiconducting silicon; Silicon; Silicon on insulator technology;" MOSFET devices""";;;;;;;;;;;;;;;;;;;;;
9;"Denisovaa Yu.I., Krentsel'a L.B., Peregudovb A.S., Litmanovichc E.A., Podbel'skiyd V.V., Litmanovicha A.D., Kudryavtseva Y.V.,""55348391000";7801518329;55348362600;55347960700;36245602900;55348409600;55348420600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865599548&doi=10.1134%2fS1560090412070032&partnerID=40&md5=8878110d3f3f85decb17a16ee26c4177"",,""1H NMR spectroscopy"; Acetone-water mixture; Alkaline hydrolysis; Chain structure; Multiblock copolymer; Quantitative interpretation; Vinyl acetate-vinyl alcohol copolymers; Vinyl acetates; Acetone; Copolymers;" Polyvinyl acetates""";;;;;;;;;;;;;;;;;;;;;;;
9;"Aseeva N.V., Gromov E.M., Tyutin V.V.,""15847630900";56707638200;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028099727&doi=10.1007%2fs11141-012-9359-z&partnerID=40&md5=c7df06312a1503ec4d3d027ebfe17898"",,""Anisotropic media"; Dispersion (waves); Dispersions; Nonlinear equations; Phase modulation; Cross phase modulation; Cubic nonlinearities; Dinger equation; Envelope functions; Linear dispersion; Mutual locations; Nonlinear dispersion; Single components;" Solitons""";;;;;;;;;;;;;;;;;;;;;;;;
9;"Bespalov P.A., Savina O.N.,""6701525903";6603597819;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027938103&doi=10.1007%2fs11141-012-9361-5&partnerID=40&md5=135aca64308524560d7dd4f47a883942"",,""Ionosphere"; Ionospheric measurement; Atmospheric process; Electromagnetic signals; Equatorial electrojet; Periodic heating; Quiet Sun; Tidal streams;" Atmospheric electricity""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Dworzański L.W., Lomazova I.A.,""55516172000";6701413146;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870821804&doi=10.3233%2fFI-2012-762&partnerID=40&md5=5d6f51b375ff6870feeb810140f87f8c"",,""Boundedness"; Compositionality; Free-choice Petri nets; Liveness; Polynomial-time algorithms; Model checking; Polynomial approximation;" Petri nets""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bashkin V.A., Lomazova I.A.,""35864818900";6701413146;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870840180&doi=10.3233%2fFI-2012-760&partnerID=40&md5=d3bc4428487d1d2dd090050239f26a61"",""cellular nets"; mobile agents; multi-agent systems; Petri nets;" Resource-Driven Automata"",""cellular nets"; Expressive power; Finite systems; Input/output; Multi agent system (MAS); Resource-Driven Automata; Shared resources; Structured systems; System net; Equivalence classes; Flexible structures; Mobile agents; Multi agent systems; Petri nets;" Automata theory""";;;;;;;;;;;;;;;;;;;;
10;"Zlotnik A., Zlotnik I.,""7101674545";14043052500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872178806&doi=10.3934%2fkrm.2012.5.639&partnerID=40&md5=cfb7e33aad9db18b415577ef33a4c465"",""Approximate and discrete transparent boundary conditions"; Discrete convolution operator; Finite element method; Galerkin method; Stability; The time-dependent Schrödinger equation;" The tunnel effect"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871825907&doi=10.1134%2fS0001434612110089&partnerID=40&md5=71b2db8ae6934a37a5ebdcd96d4aae6c"",""binodal"; Boltzmann distribution; Bose-gas trap; Clapeyron law; Clapeyron-Clausius law; ideal gas; negative pressure; phase transition;" Van-der-Waals law of corresponding states"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Maslov V.P.,""7202893841";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871824197&doi=10.1134%2fS0001434612110296&partnerID=40&md5=26e53fe12bdb546499aff967965a8354"",""Bose distribution in the two-dimensional case"; boundary of a volume;" trap"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Samovol V.S.,""6506482791";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871840423&doi=10.1134%2fS0001434612110260&partnerID=40&md5=4e798b41c6b874aa5fef82bf83949afc"",""autonomous system of ordinary differential equations"; finitely smooth equivalence of systems; pseudonormal form; resonance;" shearing transformation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Samovol V.S.,""6506482791";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871838950&doi=10.1134%2fS0001434612110107&partnerID=40&md5=19c8fa19d1f1cbc4608e612cb2042c30"",""linearization"; normal form; ordinary differential equations; pseudonormal form; removable/irremovable resonances;" shearing transformation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kuyumzhiyan K.G.,""26428262300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871698198&doi=10.1134%2fS0037446612060122&partnerID=40&md5=04f864619f694922f42992d5e98c5446"",""classical root system"; irreducible representation; normality; toric variety;" weight decomposition"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bellamy G., Kuwabara T.,""25225335200";11739024600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872822322&doi=10.2140%2fpjm.2012.260.89&partnerID=40&md5=01eed560d60a2d04ebb16796b5e3e215"",""Deformation quantization";" Hypertoric varieties"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Petrosyants K.O., Orekhov E.V., Kharitonov I.A., Popov D.A.,""6602577918";54914283100;56711354200;55795078700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880216437&doi=10.1117%2f12.2017550&partnerID=40&md5=a145855b410a41c9dddf4d568dd6e9b2"",""MOSFET"; Self-heating; SOI; TCAD; Technology scaling;" Thermal resistance"",""MOS-FET"; Self-heating; SOI; TCAD; Technology scaling; Heat resistance; Nanoelectronics; Semiconducting silicon; Silicon; Silicon on insulator technology;" MOSFET devices""";;;;;;;;;;;;;;;;;;;;;
10;"Sorokin A., Murphey R., Thai M.T., Pardalos P.M.,""54997107100";7006737412;10641983400;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892768492&doi=10.1007%2f978-1-4614-3906-6&partnerID=40&md5=f4c6f3cc34783b562eeb4ef2132791fb"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Katchanov Y.L., Shmatko N.A.,""55496794100";6507223957;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869849821&partnerID=40&md5=718efe951cd0f4608fe84fdf7e374109"",""Mathematical models in sociology"; Scientific capital; Singular perturbations model; Slow-fast systems; Social structure;" Stochastic Lorenz system"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Andrievskaya I.K., Penikas H.I.,""56893670600";55471176500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868686166&doi=10.3233%2fMAS-2012-0239&partnerID=40&md5=c9f74ac9c4ff9b270e0fb8a4e3837794"",""Bank"; Basel II; capital adequacy; copula; procyclicality; risk;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
